FactoryName;Factory Type;Product Type Type;Nike, Inc. Brand(s);Events;Supplier Group;Address;City;State;PostalCode;Country;Region;Total Workers;Line Workers;% Female Workers;% Migrant Workers
Fu-Luh Shoes Co., LTD;FINISHED GOODS;Footwear;Nike;;CHING LUH;Tri Yen Hamlet Tan Kim Commune Can Giuoc County;Long An;Long An;82500;Vietnam;SE ASIA;10728;9539;76;0
TIONG LIONG-Tiong Liong Industrial Co., Ltd. (Lamination);MATERIALS;Footwear;Nike;;TIONG LIONG GROUP;NO 8 Lane 758 SEC 3 ZHONGQING RD;Taichung City;Taichung;428;Taiwan;N ASIA;55;29;0;14
CHANG SHIN VIETNAM CO., LTD;FINISHED GOODS;Footwear;Nike;;CHANGSHIN;Lot C Loc An Binh Son Industrial Zone;Long Thanh District;Ðng Nai;00061;Vietnam;SE ASIA;5828;5291;89;0
Thuan Phuong Embroideries Garments Co., Ltd - Binh Chanh Factory 2;FINISHED GOODS;Apparel;Nike;;THUAN PHUONG EMBROIDERIES GARMENTS CO., LTD - BINH CHANH FACTORY 2;Provincial Road 835A  Loc Tien Hamlet  My Loc Commune;Can Giuoc District;Long An;82509;Vietnam;SE ASIA;771;724;0;0
Future Garment Co., Ltd.;FINISHED GOODS;Apparel;Nike;;HI TECH;211/18-26 Nonsee Road , Chongnonsee  Yannawa ;Bangkok;Bangkok;10120;Thailand;SE ASIA;430;360;66;92
ELITE SPORTSWEAR L.P.;FINISHED GOODS;Apparel;Nike;;ELITE SPORTSWEAR;2136 NORTH 13TH STREET;READING;Pennsylvania;19604;USA;AMERICAS;416;188;0;0
Qingyuan City Liannan Yao Nationality Autonomous County Rongfang Footwear;FINISHED GOODS;Footwear;Nike;Collegiate;SHOETOWN;50 Yan Jiang East Road,San Jiang Town Lian Nan County;QING YUAN;Guangdong;513300;China;N ASIA;705;652;96;0
Cheng Horng Industrial Co., Ltd.;MATERIALS;Apparel;Nike;;LITTLE KING;No 230 Hongzun Road;Taoyuan;Taoyuan;324;Taiwan;N ASIA;120;101;22;43
Dongguan Dingjia Sporting Goods Co.,Ltd.;FINISHED GOODS;Equipment;Nike;;DONGGUAN DINGJIA;No24Huanshi South RoadTangxiaTownDongguan;dongguan;Guangdong;523726;China;N ASIA;20;16;0;0
GreenTech Headgear Company Limited;FINISHED GOODS;Apparel;Nike;;ASIAN SOURCING HEADWEAR;D02 Street Chau Duc Industrial Zone;Chau Duc;Bà Ra - Vung Tàu;78000;Vietnam;SE ASIA;2086;1930;58;0
Apple Apparel (Cambodia) Co., Ltd.;FINISHED GOODS;Apparel;Nike;;RAMATEX;Phum Chumpou Voin;Phonm Penh;Phnom Penh;120911;Cambodia;SE ASIA;584;509;79;0
Annora Vietnam  Footwear Co.,Ltd;FINISHED GOODS;Footwear;Nike;;HUALI;Nghi Son Economic Zone Dao Duy Tu Ward ;Nghi Son Township;Thanh Hóa;456400;Vietnam;SE ASIA;21878;19845;90;0
TKG TAEKWANG VINA JOINT STOCK COMPANY-MY THO BRANCH;FINISHED GOODS - COMPONENTS;Footwear;Nike;;TAEKWANG;864 Street C group;My Tho;Tin Giang;860000;Vietnam;SE ASIA;6429;5854;94;0
Pou Chen Corporation;FINISHED GOODS;Footwear;Nike;;POU CHEN;No 2 Fugong Rd;Changhua;Changhua;506027;Taiwan;N ASIA;1654;476;64;0
Vietnam Golden Victory Co., Ltd.;FINISHED GOODS;Footwear;Nike;Collegiate;STELLA;DONG BINH VILLAGE DONG THINH WARD NGHIA HUNG DISTRICT;Nam Dinh;Nam Ðnh;420000;Vietnam;SE ASIA;9040;8150;80;0
